Time Shifted (hrs),0% Renewables,5% Renewables,10% Renewables,15% Renewables,20% Renewables,25% Renewables,30% Renewables,35% Renewables,40% Renewables,45% Renewables,50% Renewables,55% Renewables,60% Renewables,65% Renewables,70% Renewables,75% Renewables,80% Renewables,85% Renewables,90% Renewables,95% Renewables,100% Renewables
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002714030667806794,0.011988889322166971,0.021908996511348994,0.042390686448803276,0.07872132252700396,0.08897137435731338,0.1043925876054636,0.14986410183952614,0.14653475806052116,0.1819506171295221,0.2054345736556511,0.23484766671906168,0.27016945075984217,0.288528526276363
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001767481209518391,0.0108964066455094,0.023325544564229524,0.05614658932789428,0.0661754565932481,0.07993090429718056,0.09825918781448215,0.10912055803138683,0.14532218107722186,0.18726187535679895,0.20961551222744926,0.25268393315962984,0.2286750248590282,0.288059731347242
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00169758425375562,0.007234591183152742,0.027325814139302275,0.0436180277580135,0.062380547360329906,0.08621405616422848,0.08824314123337071,0.12774617718493317,0.14114176230856768,0.14793877832488495,0.1923998557022821,0.20589636087653246,0.20109056782031764,0.21973968968762553
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013514242118072937,0.014677678935053541,0.02349011443203413,0.042007000073909895,0.08282032729198856,0.09231052387465682,0.10915364440667834,0.11772362636738364,0.11521168329604806,0.16804063847066095,0.17055606139639248,0.1991025230535502,0.25030863246370116,0.24095314021176206
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019197959751108993,0.008084299568161668,0.022904267726605997,0.04465682128540576,0.040956530574493825,0.0737673891332964,0.08191764862792564,0.08234202156195895,0.12256506549967482,0.1587856300061457,0.2104785383220482,0.18029553724250327,0.19237800100515648,0.24006489310635082
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001228286432616173,0.01006054273963512,0.02018147504602741,0.03663796201866488,0.07140403866648735,0.08784435522589053,0.09962099864900485,0.10255891202736286,0.1045565929107423,0.14915668143624544,0.14423013678150695,0.19110138090622447,0.20547275045404656,0.19177147155802976
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006509502301301812,0.02170731519886242,0.054056549209898525,0.04246551452114321,0.05492269230023985,0.075413155883775,0.0684476393994572,0.08106576253989672,0.1301388374390696,0.1733420410671076,0.156531189893897,0.14335115527918255,0.21266713398260123
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009331241024646837,0.01392221644218855,0.025921826515667715,0.0383638243008006,0.05860205257838467,0.0930019913712204,0.07680923549855337,0.09518393432354592,0.13085797918738903,0.1320517111841439,0.1540180477620712,0.16983508380526063,0.13381734265148562
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010127172757871344,0.02336899816971386,0.03568789200948353,0.03745555831231654,0.02591849691647855,0.05117240186837353,0.07279008190030917,0.07972344260619263,0.10043049785849638,0.12023564563556507,0.09278079591342717,0.12882769123880125,0.1796846722923792
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003506159716733179,0.016681815375823104,0.020142435066713392,0.021435912184019447,0.028026178427593303,0.045944393899159594,0.0683316825896911,0.05821941200590466,0.05164175625064838,0.08723973705966794,0.11350069939035551,0.1077212260320029,0.09324495688876233
